layer size,magnetic permeability,electric permittivity,simulation parameters,,,,,
1.5E-6,795.8E+3,1.00,1.00E+13,,,,,
15.4E-6,1.00,3.80,0,,,,,
1.5E-6,795.8E+3,1.00,50,,,,,
15.4E-6,1.00,3.80,0,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
1.5E-6,795.8E+3,1.00,,,,,,
15.4E-6,1.00,3.80,,,,,,
