layer size,magnetic permeability,electric permittivity,simulation parameters,,,,,
100.0E-6,1,1,2.40E+12,,,,,
100.0E-6,1,1.1,0,,,,,
100.0E-6,1,1.21,20,,,,,
100.0E-6,1,1.331,0,,,,,
100.0E-6,1,1.4641,,,,,,
100.0E-6,1,1.61051,,,,,,
100.0E-6,1,1.771561,,,,,,
100.0E-6,1,1.9487171,,,,,,
100.0E-6,1,2.14358881,,,,,,
100.0E-6,1,2.357947691,,,,,,
100.0E-6,1,2.59374246,,,,,,
100.0E-6,1,2.853116706,,,,,,
100.0E-6,1,3.138428377,,,,,,
100.0E-6,1,3.452271214,,,,,,
100.0E-6,1,3.797498336,,,,,,
100.0E-6,1,4.177248169,,,,,,
100.0E-6,1,4.594972986,,,,,,
100.0E-6,1,5.054470285,,,,,,
100.0E-6,1,5.559917313,,,,,,
100.0E-6,1,6.115909045,,,,,,
